排名,大学,省市,总分
1,清华大学,北京,969.2
2,北京大学,北京,855.3
3,浙江大学,浙江,768.7
4,上海交通大学,上海,723.4
5,南京大学,江苏,654.8
6,复旦大学,上海,649.7
7,中国科学技术大学,安徽,577.0
8,华中科技大学,湖北,574.3
9,武汉大学,湖北,567.9
10,西安交通大学,陕西,537.9
11,哈尔滨工业大学,黑龙江,522.6
12,中山大学,广东,519.3
13,北京师范大学,北京,518.3
14,四川大学,四川,516.6
15,北京航空航天大学,北京,513.8
16,同济大学,上海,508.3
17,东南大学,江苏,488.1
18,中国人民大学,北京,487.8
19,北京理工大学,北京,474.0
20,南开大学,天津,465.3
21,山东大学,山东,447.0
22,天津大学,天津,444.3
23,中南大学,湖南,442.2
24,吉林大学,吉林,435.7
25,西北工业大学,陕西,430.5
26,厦门大学,福建,427.8
27,华南理工大学,广东,419.8
28,大连理工大学,辽宁,418.2
29,华东师范大学,上海,401.8
30,中国农业大学,北京,400.4
